Frame Number,Timestamp,Violation Type
6,0:00:00,No Jacket
6,0:00:00,No Jacket
12,0:00:00,No Jacket
12,0:00:00,No Jacket
18,0:00:00,No Jacket
18,0:00:00,No Jacket
24,0:00:00,No Jacket
24,0:00:00,No Jacket
30,0:00:01,No Jacket
30,0:00:01,No Jacket
36,0:00:01,No Jacket
36,0:00:01,No Jacket
42,0:00:01,No Jacket
42,0:00:01,No Jacket
48,0:00:01,No Jacket
48,0:00:01,No Jacket
54,0:00:01,No Jacket
54,0:00:01,No Jacket
60,0:00:02,No Jacket
60,0:00:02,No Jacket
66,0:00:02,No Jacket
66,0:00:02,No Jacket
72,0:00:02,No Jacket
72,0:00:02,No Jacket
78,0:00:02,No Jacket
78,0:00:02,No Jacket
84,0:00:02,No Jacket
84,0:00:02,No Jacket
90,0:00:03,No Jacket
90,0:00:03,No Jacket
96,0:00:03,No Jacket
96,0:00:03,No Jacket
102,0:00:03,No Jacket
102,0:00:03,No Jacket
108,0:00:03,No Jacket
108,0:00:03,No Jacket
114,0:00:03,No Jacket
114,0:00:03,No Jacket
120,0:00:04,No Jacket
120,0:00:04,No Jacket
126,0:00:04,No Jacket
126,0:00:04,No Jacket
132,0:00:04,No Jacket
132,0:00:04,No Jacket
138,0:00:04,No Jacket
138,0:00:04,No Jacket
144,0:00:04,No Jacket
144,0:00:04,No Jacket
150,0:00:05,No Jacket
150,0:00:05,No Jacket
156,0:00:05,No Jacket
156,0:00:05,No Jacket
162,0:00:05,No Jacket
162,0:00:05,No Jacket
168,0:00:05,No Jacket
168,0:00:05,No Jacket
168,0:00:05,No Jacket
174,0:00:05,No Jacket
174,0:00:05,No Jacket
174,0:00:05,No Jacket
180,0:00:06,No Jacket
180,0:00:06,No Jacket
180,0:00:06,No Jacket
186,0:00:06,No Jacket
186,0:00:06,No Jacket
186,0:00:06,No Jacket
192,0:00:06,No Jacket
192,0:00:06,No Jacket
192,0:00:06,No Jacket
198,0:00:06,No Jacket
198,0:00:06,No Jacket
198,0:00:06,No Jacket
204,0:00:06,No Jacket
204,0:00:06,No Jacket
204,0:00:06,No Jacket
210,0:00:07,No Jacket
210,0:00:07,No Jacket
210,0:00:07,No Jacket
216,0:00:07,No Jacket
216,0:00:07,No Jacket
216,0:00:07,No Jacket
