epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.0887,1.31381,3.2881,1.41546,0.01849,0.6975,0.21511,0.13878,1.06524,3.34297,1.10392,0.0002375,0.0002375,0.0002375
2,193.535,1.12646,1.80366,1.17224,0.49889,0.31603,0.4067,0.26359,1.11413,2.54276,1.14753,0.000477848,0.000477848,0.000477848
3,313.839,1.08301,1.44721,1.13455,0.57566,0.39077,0.49265,0.31247,1.25583,2.22847,1.2232,0.000708295,0.000708295,0.000708295
4,438.247,1.05552,1.3365,1.13493,0.56272,0.49271,0.55488,0.35467,1.23846,1.88103,1.24903,0.000928842,0.000928842,0.000928842
5,535.398,1.07059,1.26621,1.12543,0.52782,0.52083,0.50526,0.31345,1.31198,2.17727,1.39899,0.00113949,0.00113949,0.00113949
6,643.58,1.03059,1.1804,1.12126,0.71891,0.64656,0.72421,0.49738,1.12595,1.72147,1.21597,0.00112625,0.00112625,0.00112625
7,767.802,0.99654,1.09497,1.10152,0.71954,0.67387,0.70924,0.4767,1.10503,1.36858,1.15638,0.0011015,0.0011015,0.0011015
8,873.497,1.01551,1.07059,1.11966,0.62092,0.63062,0.65799,0.43771,1.14998,1.55826,1.16479,0.00107675,0.00107675,0.00107675
9,990.736,1.00894,0.99057,1.10069,0.73097,0.64072,0.71635,0.47718,1.14011,1.42526,1.17397,0.001052,0.001052,0.001052
10,1092.44,0.97353,0.97664,1.08247,0.80983,0.66183,0.75873,0.50368,1.10558,1.32346,1.17475,0.00102725,0.00102725,0.00102725
11,1192.05,0.97177,0.92528,1.06773,0.79675,0.72287,0.7713,0.52435,1.13859,1.15826,1.1744,0.0010025,0.0010025,0.0010025
12,1294.38,0.97902,0.93371,1.08966,0.83846,0.67073,0.79272,0.53926,1.11267,1.15899,1.1508,0.00097775,0.00097775,0.00097775
13,1446.94,0.94733,0.91634,1.07252,0.83532,0.70095,0.81192,0.56686,1.09901,1.14896,1.13559,0.000953,0.000953,0.000953
14,1598.49,0.96534,0.88648,1.06644,0.82384,0.79662,0.84113,0.59395,1.07231,0.99147,1.1341,0.00092825,0.00092825,0.00092825
15,1749.64,0.93088,0.85749,1.04848,0.85213,0.78122,0.84678,0.5984,1.07158,1.00132,1.12405,0.0009035,0.0009035,0.0009035
16,1901.75,0.92533,0.85147,1.06257,0.80646,0.76189,0.79716,0.56081,1.06876,1.04609,1.12857,0.00087875,0.00087875,0.00087875
17,2047.77,0.95882,0.84416,1.0571,0.84692,0.73567,0.82847,0.56528,1.09265,0.99517,1.1396,0.000854,0.000854,0.000854
18,2155.45,0.9226,0.78723,1.03399,0.85432,0.7693,0.86022,0.61027,1.07441,0.96316,1.12476,0.00082925,0.00082925,0.00082925
19,2256.97,0.9205,0.77432,1.0495,0.8533,0.73167,0.84517,0.60657,1.02934,0.95412,1.11109,0.0008045,0.0008045,0.0008045
20,2358.8,0.89126,0.75779,1.03892,0.83923,0.81054,0.87106,0.61021,1.04344,0.89075,1.1118,0.00077975,0.00077975,0.00077975
21,2458.58,0.88031,0.73936,1.03664,0.85299,0.78939,0.85353,0.60239,1.05333,0.92059,1.12562,0.000755,0.000755,0.000755
22,2557.2,0.86747,0.73197,1.02255,0.83532,0.81114,0.82064,0.57328,1.09104,0.95469,1.13578,0.00073025,0.00073025,0.00073025
23,2657.34,0.84438,0.70857,1.01546,0.86934,0.82068,0.86347,0.59859,1.07976,0.87486,1.15568,0.0007055,0.0007055,0.0007055
24,2757,0.86223,0.69296,1.01444,0.84914,0.77566,0.87154,0.60427,1.053,0.84855,1.11426,0.00068075,0.00068075,0.00068075
25,2856.91,0.82378,0.68231,1.02065,0.86739,0.8358,0.8829,0.61181,1.06784,0.8141,1.13538,0.000656,0.000656,0.000656
26,2956.02,0.82187,0.67293,1.00017,0.80362,0.83199,0.86712,0.60966,1.03936,0.81569,1.13748,0.00063125,0.00063125,0.00063125
27,3056.76,0.82148,0.66142,1.01022,0.90591,0.76328,0.85767,0.60355,1.0641,0.84992,1.14177,0.0006065,0.0006065,0.0006065
28,3156.74,0.82617,0.6602,0.99218,0.80538,0.83564,0.86439,0.6069,1.05444,0.85334,1.12621,0.00058175,0.00058175,0.00058175
29,3255.41,0.80418,0.64785,0.99974,0.81022,0.82279,0.84987,0.58891,1.0491,0.86226,1.12298,0.000557,0.000557,0.000557
30,3355.39,0.82301,0.65583,0.99813,0.82022,0.84205,0.86949,0.6139,1.03878,0.80819,1.11866,0.00053225,0.00053225,0.00053225
31,3455.46,0.7953,0.61491,0.99694,0.82224,0.84629,0.86629,0.61101,1.04058,0.79415,1.11747,0.0005075,0.0005075,0.0005075
32,3555.36,0.78852,0.60537,0.97845,0.83733,0.84277,0.86459,0.6086,1.02532,0.78916,1.1039,0.00048275,0.00048275,0.00048275
33,3657.46,0.78156,0.61533,0.99422,0.7894,0.85898,0.84915,0.59753,1.02208,0.81257,1.1046,0.000458,0.000458,0.000458
34,3756.79,0.78678,0.59267,0.98117,0.84977,0.84348,0.86059,0.60852,0.99896,0.79979,1.07858,0.00043325,0.00043325,0.00043325
35,3862.81,0.75165,0.56765,0.97317,0.81857,0.84396,0.85547,0.60853,1.01708,0.79146,1.09412,0.0004085,0.0004085,0.0004085
36,3962.64,0.76225,0.56845,0.97372,0.82087,0.82981,0.87107,0.61679,1.01538,0.78907,1.10375,0.00038375,0.00038375,0.00038375
37,4062.78,0.74602,0.5631,0.97005,0.81554,0.81285,0.8619,0.60701,1.00922,0.77862,1.11418,0.000359,0.000359,0.000359
38,4380.18,0.74769,0.57794,0.98401,0.82589,0.85392,0.8742,0.61414,1.00413,0.76009,1.09511,0.00033425,0.00033425,0.00033425
39,4471.88,0.7434,0.56281,0.96572,0.85988,0.84508,0.88391,0.62372,0.99826,0.72495,1.09697,0.0003095,0.0003095,0.0003095
